regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Sul;RS;2020-03-10;1;1;0;0
Sul;RS;2020-03-11;1;2;0;0
Sul;RS;2020-03-12;2;4;0;0
Sul;RS;2020-03-13;0;4;0;0
Sul;RS;2020-03-14;2;6;0;0
Sul;RS;2020-03-15;0;6;0;0
Sul;RS;2020-03-16;0;6;0;0
Sul;RS;2020-03-17;4;10;0;0
Sul;RS;2020-03-18;9;19;0;0
Sul;RS;2020-03-19;9;28;0;0
Sul;RS;2020-03-20;9;37;0;0
Sul;RS;2020-03-21;23;60;0;0
Sul;RS;2020-03-22;12;72;0;0
Sul;RS;2020-03-23;14;86;0;0
Sul;RS;2020-03-24;12;98;0;0
Sul;RS;2020-03-25;25;123;1;1
Sul;RS;2020-03-26;45;168;0;1
Sul;RS;2020-03-27;27;195;1;2
Sul;RS;2020-03-28;2;197;0;2
Sul;RS;2020-03-29;29;226;0;2
Sul;RS;2020-03-30;15;241;1;3
Sul;RS;2020-03-31;33;274;1;4
Sul;RS;2020-04-01;32;306;0;4
Sul;RS;2020-04-02;28;334;1;5
Sul;RS;2020-04-03;62;396;0;5
Sul;RS;2020-04-04;14;410;1;6
Sul;RS;2020-04-05;8;418;1;7
Sul;RS;2020-04-06;63;481;0;7
Sul;RS;2020-04-07;27;508;1;8
Sul;RS;2020-04-08;47;555;1;9
Sul;RS;2020-04-09;63;618;3;12
Sul;RS;2020-04-10;18;636;2;14
Sul;RS;2020-04-11;4;640;1;15
Sul;RS;2020-04-12;13;653;1;16
Sul;RS;2020-04-13;11;664;0;16
Sul;RS;2020-04-14;36;700;2;18
Sul;RS;2020-04-15;47;747;1;19
Sul;RS;2020-04-16;33;780;0;19
Sul;RS;2020-04-17;22;802;3;22
